Resume,Category
"Python SQL Pandas NumPy Machine Learning Scikit Learn Data Analysis",Data Science
"Deep Learning TensorFlow PyTorch NLP Computer Vision AI Models",AI ML
"HTML CSS JavaScript React Node Frontend Web Design",Web Developer
"Java Spring Boot REST API MySQL Backend Microservices",Backend Developer
"Excel Power BI Tableau SQL Dashboard Business Analysis",Data Analyst
"Linux Networking Cybersecurity Firewall Ethical Hacking",Cyber Security
"Android Kotlin Java Firebase Mobile App Development",Android Developer
"Python Flask Django API PostgreSQL Backend Development",Backend Developer
"Machine Learning Regression Classification Pandas Data Cleaning",Data Science
"React JavaScript Tailwind HTML CSS UI Development",Web Developer
